generation,best_value,num_perturbations,sample_id
1,0.007593691349029541,1,0
2,0.007679760456085205,1,0
3,0.008326470851898193,1,0
4,0.008546710014343262,1,0
5,0.009583473205566406,1,0
6,0.009583473205566406,1,0
7,0.011452317237854004,1,0
8,0.011452317237854004,1,0
9,0.011452317237854004,1,0
10,0.011452317237854004,1,0
11,0.011452317237854004,1,0
12,0.011452317237854004,1,0
13,0.013438880443572998,1,0
14,0.013438880443572998,1,0
15,0.013438880443572998,1,0
16,0.013438880443572998,1,0
17,0.013438880443572998,1,0
18,0.013438880443572998,1,0
19,0.013438880443572998,1,0
20,0.013438880443572998,1,0
21,0.013438880443572998,1,0
22,0.013438880443572998,1,0
23,0.013438880443572998,1,0
24,0.013438880443572998,1,0
25,0.013438880443572998,1,0
26,0.013438880443572998,1,0
27,0.013438880443572998,1,0
28,0.013438880443572998,1,0
29,0.013438880443572998,1,0
30,0.013438880443572998,1,0
31,0.013438880443572998,1,0
32,0.013438880443572998,1,0
33,0.013438880443572998,1,0
34,0.013438880443572998,1,0
35,0.013438880443572998,1,0
36,0.013438880443572998,1,0
37,0.013438880443572998,1,0
38,0.013438880443572998,1,0
39,0.013438880443572998,1,0
40,0.013438880443572998,1,0
41,0.013438880443572998,1,0
42,0.013438880443572998,1,0
43,0.013438880443572998,1,0
44,0.013438880443572998,1,0
45,0.013438880443572998,1,0
46,0.013438880443572998,1,0
47,0.013438880443572998,1,0
48,0.013438880443572998,1,0
49,0.013438880443572998,1,0
50,0.013438880443572998,1,0
51,0.013438880443572998,1,0
52,0.013438880443572998,1,0
53,0.013438880443572998,1,0
54,0.013438880443572998,1,0
55,0.013438880443572998,1,0
56,0.013438880443572998,1,0
57,0.013438880443572998,1,0
58,0.013438880443572998,1,0
59,0.013438880443572998,1,0
60,0.013438880443572998,1,0
61,0.013438880443572998,1,0
62,0.013438880443572998,1,0
63,0.013438880443572998,1,0
64,0.013438880443572998,1,0
65,0.013438880443572998,1,0
66,0.013438880443572998,1,0
67,0.013438880443572998,1,0
68,0.013438880443572998,1,0
69,0.013438880443572998,1,0
70,0.013438880443572998,1,0
71,0.013438880443572998,1,0
72,0.013438880443572998,1,0
73,0.013438880443572998,1,0
74,0.013438880443572998,1,0
75,0.013438880443572998,1,0
76,0.013438880443572998,1,0
77,0.013438880443572998,1,0
78,0.013438880443572998,1,0
79,0.013438880443572998,1,0
80,0.013438880443572998,1,0
81,0.013438880443572998,1,0
82,0.013438880443572998,1,0
83,0.013438880443572998,1,0
84,0.013438880443572998,1,0
85,0.013438880443572998,1,0
86,0.013438880443572998,1,0
87,0.013438880443572998,1,0
88,0.013438880443572998,1,0
89,0.013438880443572998,1,0
90,0.013438880443572998,1,0
91,0.013438880443572998,1,0
92,0.013438880443572998,1,0
93,0.013438880443572998,1,0
94,0.013438880443572998,1,0
95,0.013438880443572998,1,0
96,0.013438880443572998,1,0
97,0.013438880443572998,1,0
98,0.013438880443572998,1,0
99,0.013438880443572998,1,0
100,0.013438880443572998,1,0
101,0.013438880443572998,1,0
102,0.013438880443572998,1,0
103,0.013438880443572998,1,0
104,0.013438880443572998,1,0
105,0.013438880443572998,1,0
106,0.013438880443572998,1,0
107,0.013438880443572998,1,0
108,0.013438880443572998,1,0
109,0.013438880443572998,1,0
110,0.013438880443572998,1,0
111,0.013438880443572998,1,0
112,0.013438880443572998,1,0
113,0.013438880443572998,1,0
114,0.013438880443572998,1,0
115,0.013438880443572998,1,0
116,0.013438880443572998,1,0
117,0.013438880443572998,1,0
118,0.013438880443572998,1,0
119,0.013438880443572998,1,0
120,0.013438880443572998,1,0
121,0.013438880443572998,1,0
122,0.013438880443572998,1,0
123,0.013438880443572998,1,0
124,0.013438880443572998,1,0
125,0.013438880443572998,1,0
126,0.013438880443572998,1,0
127,0.013438880443572998,1,0
128,0.013438880443572998,1,0
129,0.013438880443572998,1,0
130,0.013438880443572998,1,0
131,0.013438880443572998,1,0
132,0.013438880443572998,1,0
133,0.013438880443572998,1,0
134,0.013438880443572998,1,0
135,0.013438880443572998,1,0
136,0.013438880443572998,1,0
137,0.013438880443572998,1,0
138,0.013438880443572998,1,0
139,0.013438880443572998,1,0
140,0.013438880443572998,1,0
141,0.013438880443572998,1,0
142,0.013438880443572998,1,0
143,0.013438880443572998,1,0
144,0.013438880443572998,1,0
145,0.013438880443572998,1,0
146,0.013438880443572998,1,0
147,0.013438880443572998,1,0
148,0.013438880443572998,1,0
149,0.013438880443572998,1,0
150,0.013438880443572998,1,0
151,0.013438880443572998,1,0
152,0.013438880443572998,1,0
153,0.013438880443572998,1,0
154,0.013438880443572998,1,0
155,0.013438880443572998,1,0
156,0.013438880443572998,1,0
157,0.013438880443572998,1,0
158,0.013438880443572998,1,0
159,0.013438880443572998,1,0
160,0.013438880443572998,1,0
161,0.013438880443572998,1,0
162,0.013438880443572998,1,0
163,0.013438880443572998,1,0
164,0.013438880443572998,1,0
165,0.013438880443572998,1,0
166,0.013438880443572998,1,0
167,0.013438880443572998,1,0
168,0.013438880443572998,1,0
169,0.013438880443572998,1,0
170,0.013438880443572998,1,0
171,0.013438880443572998,1,0
172,0.013438880443572998,1,0
173,0.013438880443572998,1,0
174,0.013438880443572998,1,0
175,0.013438880443572998,1,0
176,0.013438880443572998,1,0
177,0.013438880443572998,1,0
178,0.013438880443572998,1,0
179,0.013438880443572998,1,0
180,0.013438880443572998,1,0
181,0.013438880443572998,1,0
182,0.013438880443572998,1,0
183,0.013438880443572998,1,0
184,0.013438880443572998,1,0
185,0.013438880443572998,1,0
186,0.013438880443572998,1,0
187,0.013438880443572998,1,0
188,0.013438880443572998,1,0
189,0.013438880443572998,1,0
190,0.013438880443572998,1,0
191,0.013438880443572998,1,0
192,0.013438880443572998,1,0
193,0.013438880443572998,1,0
194,0.013438880443572998,1,0
195,0.013438880443572998,1,0
196,0.013438880443572998,1,0
197,0.013438880443572998,1,0
198,0.013438880443572998,1,0
199,0.013438880443572998,1,0
200,0.013438880443572998,1,0
1,0.00041931867599487305,1,1
2,0.00041931867599487305,1,1
3,0.0004680156707763672,1,1
4,0.0004680156707763672,1,1
5,0.0004680156707763672,1,1
6,0.0005155801773071289,1,1
7,0.0005155801773071289,1,1
8,0.0005205273628234863,1,1
9,0.0005226731300354004,1,1
10,0.0006313920021057129,1,1
11,0.0006313920021057129,1,1
12,0.0006313920021057129,1,1
13,0.0006313920021057129,1,1
14,0.0006313920021057129,1,1
15,0.0006313920021057129,1,1
16,0.0006313920021057129,1,1
17,0.0006313920021057129,1,1
18,0.0006313920021057129,1,1
19,0.0006313920021057129,1,1
20,0.0006313920021057129,1,1
21,0.0006313920021057129,1,1
