generation,best_value,num_perturbations,sample_id
1,0.0,1,0
2,0.0,1,0
3,0.0,1,0
4,0.0,1,0
5,0.0,1,0
6,0.0,1,0
7,0.0,1,0
8,0.0,1,0
9,0.0,1,0
10,0.0,1,0
11,0.0,1,0
12,0.0,1,0
13,0.0,1,0
14,0.0,1,0
15,0.0,1,0
16,0.0,1,0
17,0.0,1,0
18,0.0,1,0
19,0.0,1,0
20,0.0,1,0
21,0.0,1,0
22,0.0,1,0
23,0.0,1,0
24,0.0,1,0
25,0.0,1,0
26,0.0,1,0
27,0.0,1,0
28,0.0,1,0
29,0.0,1,0
30,0.0,1,0
31,0.0,1,0
32,0.0,1,0
33,0.0,1,0
34,0.0,1,0
35,0.0,1,0
36,0.0,1,0
37,0.0,1,0
38,0.0,1,0
39,0.0,1,0
40,0.0,1,0
41,0.0,1,0
42,0.0,1,0
43,0.0,1,0
44,0.0,1,0
45,0.0,1,0
46,0.0,1,0
47,0.0,1,0
48,0.0,1,0
49,0.0,1,0
50,0.0,1,0
51,0.0,1,0
52,0.0,1,0
53,0.0,1,0
54,0.0,1,0
55,0.0,1,0
56,0.0,1,0
57,0.0,1,0
58,0.0,1,0
59,0.0,1,0
60,0.0,1,0
61,0.0,1,0
62,0.0,1,0
63,0.0,1,0
64,0.0,1,0
65,0.0,1,0
66,0.0,1,0
67,0.0,1,0
68,0.0,1,0
69,0.0,1,0
70,0.0,1,0
71,0.0,1,0
72,0.0,1,0
73,0.0,1,0
74,0.0,1,0
75,0.0,1,0
76,0.0,1,0
77,0.0,1,0
78,0.0,1,0
79,0.0,1,0
80,0.0,1,0
81,0.0,1,0
82,0.0,1,0
83,0.0,1,0
84,0.0,1,0
85,0.0,1,0
86,0.0,1,0
87,0.0,1,0
88,0.0,1,0
89,0.0,1,0
90,0.0,1,0
91,0.0,1,0
92,0.0,1,0
93,0.0,1,0
94,0.0,1,0
95,0.0,1,0
96,0.0,1,0
97,0.0,1,0
98,0.0,1,0
99,0.0,1,0
100,0.0,1,0
101,0.0,1,0
102,0.0,1,0
103,0.0,1,0
104,0.0,1,0
105,0.0,1,0
106,0.0,1,0
107,0.0,1,0
108,0.0,1,0
109,0.0,1,0
110,0.0,1,0
111,0.0,1,0
112,0.0,1,0
113,0.0,1,0
114,0.0,1,0
115,0.0,1,0
116,0.0,1,0
117,0.0,1,0
118,0.0,1,0
119,0.0,1,0
120,0.0,1,0
121,0.0,1,0
122,0.0,1,0
123,0.0,1,0
124,0.0,1,0
125,0.0,1,0
126,0.0,1,0
127,0.0,1,0
128,0.0,1,0
129,0.0,1,0
130,0.0,1,0
131,0.0,1,0
132,0.0,1,0
133,0.0,1,0
134,0.0,1,0
135,0.0,1,0
136,0.0,1,0
137,0.0,1,0
138,0.0,1,0
139,0.0,1,0
140,0.0,1,0
141,0.0,1,0
142,0.0,1,0
143,0.0,1,0
144,0.0,1,0
145,0.0,1,0
146,0.0,1,0
147,0.0,1,0
148,0.0,1,0
149,0.0,1,0
150,0.0,1,0
151,0.0,1,0
152,0.0,1,0
153,0.0,1,0
154,0.0,1,0
155,0.0,1,0
156,0.0,1,0
157,0.0,1,0
158,0.0,1,0
159,0.0,1,0
160,0.0,1,0
161,0.0,1,0
162,0.0,1,0
163,0.0,1,0
164,0.0,1,0
165,0.0,1,0
166,0.0,1,0
167,0.0,1,0
168,0.0,1,0
169,0.0,1,0
170,0.0,1,0
171,0.0,1,0
172,0.0,1,0
173,0.0,1,0
174,0.0,1,0
175,0.0,1,0
176,0.0,1,0
177,0.0,1,0
178,0.0,1,0
179,0.0,1,0
180,0.0,1,0
181,0.0,1,0
182,0.0,1,0
183,0.0,1,0
184,0.0,1,0
185,0.0,1,0
186,0.0,1,0
187,0.0,1,0
188,0.0,1,0
189,0.0,1,0
190,0.0,1,0
191,0.0,1,0
192,0.0,1,0
193,0.0,1,0
194,0.0,1,0
195,0.0,1,0
196,0.0,1,0
197,0.0,1,0
198,0.0,1,0
199,0.0,1,0
200,0.0,1,0
1,2.384185791015625e-07,1,1
2,2.384185791015625e-07,1,1
3,2.384185791015625e-07,1,1
4,2.384185791015625e-07,1,1
5,2.384185791015625e-07,1,1
6,3.5762786865234375e-07,1,1
7,3.5762786865234375e-07,1,1
8,3.5762786865234375e-07,1,1
9,3.5762786865234375e-07,1,1
10,3.5762786865234375e-07,1,1
11,3.5762786865234375e-07,1,1
12,3.5762786865234375e-07,1,1
13,3.5762786865234375e-07,1,1
14,3.5762786865234375e-07,1,1
15,3.5762786865234375e-07,1,1
16,5.960464477539062e-07,1,1
17,5.960464477539062e-07,1,1
18,5.960464477539062e-07,1,1
19,5.960464477539062e-07,1,1
20,5.960464477539062e-07,1,1
21,5.960464477539062e-07,1,1
22,5.960464477539062e-07,1,1
23,5.960464477539062e-07,1,1
24,5.960464477539062e-07,1,1
25,5.960464477539062e-07,1,1
26,5.960464477539062e-07,1,1
27,5.960464477539062e-07,1,1
28,5.960464477539062e-07,1,1
29,5.960464477539062e-07,1,1
30,5.960464477539062e-07,1,1
31,5.960464477539062e-07,1,1
32,5.960464477539062e-07,1,1
33,5.960464477539062e-07,1,1
34,5.960464477539062e-07,1,1
35,5.960464477539062e-07,1,1
36,5.960464477539062e-07,1,1
37,5.960464477539062e-07,1,1
38,5.960464477539062e-07,1,1
39,5.960464477539062e-07,1,1
40,5.960464477539062e-07,1,1
41,5.960464477539062e-07,1,1
42,5.960464477539062e-07,1,1
43,5.960464477539062e-07,1,1
44,5.960464477539062e-07,1,1
45,5.960464477539062e-07,1,1
46,5.960464477539062e-07,1,1
47,5.960464477539062e-07,1,1
48,5.960464477539062e-07,1,1
49,5.960464477539062e-07,1,1
50,5.960464477539062e-07,1,1
51,5.960464477539062e-07,1,1
52,5.960464477539062e-07,1,1
53,5.960464477539062e-07,1,1
54,5.960464477539062e-07,1,1
55,5.960464477539062e-07,1,1
56,5.960464477539062e-07,1,1
57,5.960464477539062e-07,1,1
58,5.960464477539062e-07,1,1
59,5.960464477539062e-07,1,1
60,5.960464477539062e-07,1,1
61,5.960464477539062e-07,1,1
62,5.960464477539062e-07,1,1
63,5.960464477539062e-07,1,1
64,5.960464477539062e-07,1,1
65,5.960464477539062e-07,1,1
66,5.960464477539062e-07,1,1
67,5.960464477539062e-07,1,1
68,5.960464477539062e-07,1,1
69,5.960464477539062e-07,1,1
70,5.960464477539062e-07,1,1
71,5.960464477539062e-07,1,1
72,5.960464477539062e-07,1,1
73,5.960464477539062e-07,1,1
74,5.960464477539062e-07,1,1
75,5.960464477539062e-07,1,1
76,5.960464477539062e-07,1,1
77,5.960464477539062e-07,1,1
78,5.960464477539062e-07,1,1
79,5.960464477539062e-07,1,1
80,5.960464477539062e-07,1,1
81,5.960464477539062e-07,1,1
82,5.960464477539062e-07,1,1
83,5.960464477539062e-07,1,1
84,5.960464477539062e-07,1,1
85,5.960464477539062e-07,1,1
86,5.960464477539062e-07,1,1
87,5.960464477539062e-07,1,1
88,5.960464477539062e-07,1,1
89,5.960464477539062e-07,1,1
90,5.960464477539062e-07,1,1
91,5.960464477539062e-07,1,1
92,5.960464477539062e-07,1,1
93,5.960464477539062e-07,1,1
94,5.960464477539062e-07,1,1
95,5.960464477539062e-07,1,1
96,5.960464477539062e-07,1,1
97,5.960464477539062e-07,1,1
98,5.960464477539062e-07,1,1
99,5.960464477539062e-07,1,1
100,5.960464477539062e-07,1,1
101,5.960464477539062e-07,1,1
102,5.960464477539062e-07,1,1
103,5.960464477539062e-07,1,1
104,5.960464477539062e-07,1,1
105,5.960464477539062e-07,1,1
106,5.960464477539062e-07,1,1
107,5.960464477539062e-07,1,1
108,5.960464477539062e-07,1,1
109,5.960464477539062e-07,1,1
110,5.960464477539062e-07,1,1
111,5.960464477539062e-07,1,1
112,5.960464477539062e-07,1,1
113,5.960464477539062e-07,1,1
114,5.960464477539062e-07,1,1
115,5.960464477539062e-07,1,1
116,5.960464477539062e-07,1,1
117,5.960464477539062e-07,1,1
118,5.960464477539062e-07,1,1
119,5.960464477539062e-07,1,1
120,5.960464477539062e-07,1,1
121,5.960464477539062e-07,1,1
122,5.960464477539062e-07,1,1
123,5.960464477539062e-07,1,1
124,5.960464477539062e-07,1,1
125,5.960464477539062e-07,1,1
126,5.960464477539062e-07,1,1
127,5.960464477539062e-07,1,1
128,5.960464477539062e-07,1,1
129,5.960464477539062e-07,1,1
130,5.960464477539062e-07,1,1
131,5.960464477539062e-07,1,1
132,5.960464477539062e-07,1,1
133,5.960464477539062e-07,1,1
134,5.960464477539062e-07,1,1
135,5.960464477539062e-07,1,1
136,5.960464477539062e-07,1,1
137,5.960464477539062e-07,1,1
138,5.960464477539062e-07,1,1
139,5.960464477539062e-07,1,1
140,5.960464477539062e-07,1,1
141,5.960464477539062e-07,1,1
142,5.960464477539062e-07,1,1
143,5.960464477539062e-07,1,1
144,5.960464477539062e-07,1,1
145,5.960464477539062e-07,1,1
146,5.960464477539062e-07,1,1
147,5.960464477539062e-07,1,1
148,5.960464477539062e-07,1,1
149,5.960464477539062e-07,1,1
150,5.960464477539062e-07,1,1
151,5.960464477539062e-07,1,1
152,5.960464477539062e-07,1,1
153,5.960464477539062e-07,1,1
154,5.960464477539062e-07,1,1
155,5.960464477539062e-07,1,1
156,5.960464477539062e-07,1,1
157,5.960464477539062e-07,1,1
158,5.960464477539062e-07,1,1
159,5.960464477539062e-07,1,1
160,5.960464477539062e-07,1,1
161,5.960464477539062e-07,1,1
162,5.960464477539062e-07,1,1
163,5.960464477539062e-07,1,1
164,5.960464477539062e-07,1,1
165,5.960464477539062e-07,1,1
166,5.960464477539062e-07,1,1
167,5.960464477539062e-07,1,1
168,5.960464477539062e-07,1,1
169,5.960464477539062e-07,1,1
170,5.960464477539062e-07,1,1
171,5.960464477539062e-07,1,1
172,5.960464477539062e-07,1,1
173,5.960464477539062e-07,1,1
174,5.960464477539062e-07,1,1
175,5.960464477539062e-07,1,1
176,5.960464477539062e-07,1,1
177,5.960464477539062e-07,1,1
178,5.960464477539062e-07,1,1
179,5.960464477539062e-07,1,1
180,5.960464477539062e-07,1,1
181,5.960464477539062e-07,1,1
182,5.960464477539062e-07,1,1
183,5.960464477539062e-07,1,1
184,5.960464477539062e-07,1,1
185,5.960464477539062e-07,1,1
186,5.960464477539062e-07,1,1
187,5.960464477539062e-07,1,1
188,5.960464477539062e-07,1,1
189,5.960464477539062e-07,1,1
190,5.960464477539062e-07,1,1
191,5.960464477539062e-07,1,1
192,5.960464477539062e-07,1,1
193,5.960464477539062e-07,1,1
194,5.960464477539062e-07,1,1
195,5.960464477539062e-07,1,1
196,5.960464477539062e-07,1,1
197,5.960464477539062e-07,1,1
198,5.960464477539062e-07,1,1
199,5.960464477539062e-07,1,1
200,5.960464477539062e-07,1,1
1,0.9999838384865143,1,2
2,0.9999838384865143,1,2
3,0.9999856052418181,1,2
4,0.9999856052418181,1,2
5,0.9999856052418181,1,2
6,0.9999856052418181,1,2
7,0.9999868962313485,1,2
8,0.9999868962313485,1,2
9,0.9999887518551986,1,2
10,0.9999887518551986,1,2
11,0.9999914300997261,1,2
12,0.9999948748077259,1,2
13,0.9999948748077259,1,2
14,0.9999948748077259,1,2
15,0.9999956874762574,1,2
16,0.9999956874762574,1,2
17,0.9999956874762574,1,2
18,0.9999956874762574,1,2
19,0.9999956874762574,1,2
20,0.9999956874762574,1,2
21,0.9999956874762574,1,2
22,0.9999956874762574,1,2
23,0.9999956874762574,1,2
24,0.9999956874762574,1,2
25,0.9999956874762574,1,2
26,0.9999956874762574,1,2
27,0.9999956874762574,1,2
28,0.9999956874762574,1,2
29,0.9999956874762574,1,2
30,0.9999956874762574,1,2
31,0.9999956874762574,1,2
32,0.9999956874762574,1,2
33,0.9999956874762574,1,2
34,0.9999956874762574,1,2
35,0.9999956874762574,1,2
36,0.9999956874762574,1,2
37,0.9999956874762574,1,2
38,0.9999956874762574,1,2
39,0.9999956874762574,1,2
40,0.9999956874762574,1,2
41,0.9999956874762574,1,2
42,0.9999956874762574,1,2
43,0.9999956874762574,1,2
44,0.9999956874762574,1,2
45,0.9999956874762574,1,2
46,0.9999956874762574,1,2
47,0.9999956874762574,1,2
48,0.9999956874762574,1,2
49,0.9999956874762574,1,2
50,0.9999956874762574,1,2
51,0.9999956874762574,1,2
52,0.9999956874762574,1,2
53,0.9999956874762574,1,2
54,0.9999956874762574,1,2
55,0.9999956874762574,1,2
56,0.9999956874762574,1,2
57,0.9999956874762574,1,2
58,0.9999956874762574,1,2
59,0.9999956874762574,1,2
60,0.9999956874762574,1,2
61,0.9999956874762574,1,2
62,0.9999956874762574,1,2
63,0.9999956874762574,1,2
64,0.9999956874762574,1,2
65,0.9999956874762574,1,2
66,0.9999956874762574,1,2
67,0.9999956874762574,1,2
68,0.9999956874762574,1,2
69,0.9999956874762574,1,2
70,0.9999956874762574,1,2
71,0.9999956874762574,1,2
72,0.9999956874762574,1,2
73,0.9999956874762574,1,2
74,0.9999956874762574,1,2
75,0.9999956874762574,1,2
76,0.9999956874762574,1,2
77,0.9999956874762574,1,2
78,0.9999956874762574,1,2
79,0.9999956874762574,1,2
80,0.9999956874762574,1,2
81,0.9999956874762574,1,2
82,0.9999956874762574,1,2
83,0.9999956874762574,1,2
84,0.9999956874762574,1,2
85,0.9999956874762574,1,2
86,0.9999956874762574,1,2
87,0.9999956874762574,1,2
88,0.9999956874762574,1,2
89,0.9999956874762574,1,2
90,0.9999956874762574,1,2
91,0.9999956874762574,1,2
92,0.9999956874762574,1,2
93,0.9999956874762574,1,2
94,0.9999956874762574,1,2
95,0.9999956874762574,1,2
96,0.9999956874762574,1,2
97,0.9999956874762574,1,2
98,0.9999956874762574,1,2
99,0.9999956874762574,1,2
100,0.9999956874762574,1,2
101,0.9999956874762574,1,2
102,0.9999956874762574,1,2
103,0.9999956874762574,1,2
104,0.9999956874762574,1,2
105,0.9999956874762574,1,2
106,0.9999956874762574,1,2
107,0.9999956874762574,1,2
108,0.9999956874762574,1,2
109,0.9999956874762574,1,2
110,0.9999956874762574,1,2
111,0.9999956874762574,1,2
112,0.9999956874762574,1,2
113,0.9999956874762574,1,2
114,0.9999956874762574,1,2
115,0.9999956874762574,1,2
116,0.9999956874762574,1,2
117,0.9999956874762574,1,2
118,0.9999956874762574,1,2
119,0.9999956874762574,1,2
120,0.9999956874762574,1,2
121,0.9999956874762574,1,2
122,0.9999956874762574,1,2
123,0.9999956874762574,1,2
124,0.9999956874762574,1,2
125,0.9999956874762574,1,2
126,0.9999956874762574,1,2
127,0.9999956874762574,1,2
128,0.9999956874762574,1,2
129,0.9999956874762574,1,2
130,0.9999956874762574,1,2
131,0.9999956874762574,1,2
132,0.9999956874762574,1,2
133,0.9999956874762574,1,2
134,0.9999956874762574,1,2
135,0.9999956874762574,1,2
136,0.9999956874762574,1,2
137,0.9999956874762574,1,2
138,0.9999956874762574,1,2
139,0.9999956874762574,1,2
140,0.9999956874762574,1,2
141,0.9999956874762574,1,2
142,0.9999956874762574,1,2
143,0.9999956874762574,1,2
144,0.9999956874762574,1,2
145,0.9999956874762574,1,2
146,0.9999956874762574,1,2
147,0.9999956874762574,1,2
148,0.9999956874762574,1,2
149,0.9999956874762574,1,2
150,0.9999956874762574,1,2
151,0.9999956874762574,1,2
152,0.9999956874762574,1,2
153,0.9999956874762574,1,2
154,0.9999956874762574,1,2
155,0.9999956874762574,1,2
156,0.9999956874762574,1,2
157,0.9999956874762574,1,2
158,0.9999956874762574,1,2
