generation,best_value,num_perturbations,sample_id
1,3.5762786865234375e-07,1,0
2,3.5762786865234375e-07,1,0
3,3.5762786865234375e-07,1,0
4,3.5762786865234375e-07,1,0
5,3.5762786865234375e-07,1,0
6,4.76837158203125e-07,1,0
7,4.76837158203125e-07,1,0
8,4.76837158203125e-07,1,0
9,4.76837158203125e-07,1,0
10,4.76837158203125e-07,1,0
11,4.76837158203125e-07,1,0
12,4.76837158203125e-07,1,0
13,4.76837158203125e-07,1,0
14,4.76837158203125e-07,1,0
15,4.76837158203125e-07,1,0
16,4.76837158203125e-07,1,0
17,4.76837158203125e-07,1,0
18,4.76837158203125e-07,1,0
19,4.76837158203125e-07,1,0
20,4.76837158203125e-07,1,0
21,4.76837158203125e-07,1,0
22,4.76837158203125e-07,1,0
23,4.76837158203125e-07,1,0
24,4.76837158203125e-07,1,0
25,4.76837158203125e-07,1,0
26,4.76837158203125e-07,1,0
27,5.960464477539062e-07,1,0
28,5.960464477539062e-07,1,0
29,5.960464477539062e-07,1,0
30,5.960464477539062e-07,1,0
31,5.960464477539062e-07,1,0
32,5.960464477539062e-07,1,0
33,5.960464477539062e-07,1,0
34,5.960464477539062e-07,1,0
35,5.960464477539062e-07,1,0
36,5.960464477539062e-07,1,0
37,5.960464477539062e-07,1,0
38,5.960464477539062e-07,1,0
39,5.960464477539062e-07,1,0
40,5.960464477539062e-07,1,0
41,5.960464477539062e-07,1,0
42,5.960464477539062e-07,1,0
43,5.960464477539062e-07,1,0
44,5.960464477539062e-07,1,0
45,5.960464477539062e-07,1,0
46,5.960464477539062e-07,1,0
47,5.960464477539062e-07,1,0
48,5.960464477539062e-07,1,0
49,5.960464477539062e-07,1,0
50,5.960464477539062e-07,1,0
51,5.960464477539062e-07,1,0
52,5.960464477539062e-07,1,0
53,5.960464477539062e-07,1,0
54,5.960464477539062e-07,1,0
55,5.960464477539062e-07,1,0
56,5.960464477539062e-07,1,0
57,5.960464477539062e-07,1,0
58,5.960464477539062e-07,1,0
59,5.960464477539062e-07,1,0
60,5.960464477539062e-07,1,0
61,5.960464477539062e-07,1,0
62,5.960464477539062e-07,1,0
63,5.960464477539062e-07,1,0
64,5.960464477539062e-07,1,0
65,5.960464477539062e-07,1,0
66,5.960464477539062e-07,1,0
67,5.960464477539062e-07,1,0
68,5.960464477539062e-07,1,0
69,5.960464477539062e-07,1,0
70,5.960464477539062e-07,1,0
71,5.960464477539062e-07,1,0
72,5.960464477539062e-07,1,0
73,5.960464477539062e-07,1,0
74,5.960464477539062e-07,1,0
75,5.960464477539062e-07,1,0
76,5.960464477539062e-07,1,0
77,5.960464477539062e-07,1,0
78,5.960464477539062e-07,1,0
79,5.960464477539062e-07,1,0
80,5.960464477539062e-07,1,0
81,5.960464477539062e-07,1,0
82,5.960464477539062e-07,1,0
83,5.960464477539062e-07,1,0
84,5.960464477539062e-07,1,0
85,5.960464477539062e-07,1,0
86,5.960464477539062e-07,1,0
87,5.960464477539062e-07,1,0
88,5.960464477539062e-07,1,0
89,5.960464477539062e-07,1,0
90,5.960464477539062e-07,1,0
91,5.960464477539062e-07,1,0
92,5.960464477539062e-07,1,0
93,5.960464477539062e-07,1,0
94,5.960464477539062e-07,1,0
95,5.960464477539062e-07,1,0
96,5.960464477539062e-07,1,0
97,5.960464477539062e-07,1,0
98,5.960464477539062e-07,1,0
99,5.960464477539062e-07,1,0
100,5.960464477539062e-07,1,0
101,5.960464477539062e-07,1,0
102,5.960464477539062e-07,1,0
103,5.960464477539062e-07,1,0
104,5.960464477539062e-07,1,0
105,5.960464477539062e-07,1,0
106,5.960464477539062e-07,1,0
107,5.960464477539062e-07,1,0
108,5.960464477539062e-07,1,0
109,5.960464477539062e-07,1,0
110,5.960464477539062e-07,1,0
111,5.960464477539062e-07,1,0
112,5.960464477539062e-07,1,0
113,5.960464477539062e-07,1,0
114,5.960464477539062e-07,1,0
115,5.960464477539062e-07,1,0
116,5.960464477539062e-07,1,0
117,5.960464477539062e-07,1,0
118,5.960464477539062e-07,1,0
119,5.960464477539062e-07,1,0
120,5.960464477539062e-07,1,0
121,5.960464477539062e-07,1,0
122,5.960464477539062e-07,1,0
123,5.960464477539062e-07,1,0
124,5.960464477539062e-07,1,0
125,5.960464477539062e-07,1,0
126,5.960464477539062e-07,1,0
127,5.960464477539062e-07,1,0
128,5.960464477539062e-07,1,0
129,5.960464477539062e-07,1,0
130,5.960464477539062e-07,1,0
131,5.960464477539062e-07,1,0
132,5.960464477539062e-07,1,0
133,5.960464477539062e-07,1,0
134,5.960464477539062e-07,1,0
135,5.960464477539062e-07,1,0
136,5.960464477539062e-07,1,0
137,5.960464477539062e-07,1,0
138,5.960464477539062e-07,1,0
139,5.960464477539062e-07,1,0
140,5.960464477539062e-07,1,0
141,5.960464477539062e-07,1,0
142,5.960464477539062e-07,1,0
143,5.960464477539062e-07,1,0
144,5.960464477539062e-07,1,0
145,5.960464477539062e-07,1,0
146,5.960464477539062e-07,1,0
147,5.960464477539062e-07,1,0
148,5.960464477539062e-07,1,0
149,5.960464477539062e-07,1,0
150,5.960464477539062e-07,1,0
151,5.960464477539062e-07,1,0
152,5.960464477539062e-07,1,0
153,5.960464477539062e-07,1,0
