generation,best_value,num_perturbations,sample_id
1,0.006834447383880615,1,0
2,0.006834447383880615,1,0
3,0.006797611713409424,1,0
4,0.006797611713409424,1,0
5,0.0068035125732421875,1,0
6,0.006797075271606445,1,0
7,0.00679469108581543,1,0
8,0.00679469108581543,1,0
9,0.00679469108581543,1,0
10,0.006793379783630371,1,0
11,0.006793379783630371,1,0
12,0.006794929504394531,1,0
13,0.006794929504394531,1,0
14,0.006794929504394531,1,0
15,0.0067948102951049805,1,0
16,0.0067948102951049805,1,0
17,0.0067948102951049805,1,0
18,0.0067948102951049805,1,0
19,0.0067948102951049805,1,0
20,0.0067948102951049805,1,0
21,0.0067948102951049805,1,0
22,0.0067948102951049805,1,0
23,0.0067948102951049805,1,0
24,0.0067948102951049805,1,0
25,0.0067948102951049805,1,0
26,0.0067948102951049805,1,0
27,0.0067948102951049805,1,0
28,0.0067948102951049805,1,0
29,0.0067948102951049805,1,0
30,0.0067948102951049805,1,0
31,0.0067948102951049805,1,0
32,0.0067948102951049805,1,0
33,0.0067948102951049805,1,0
34,0.0067948102951049805,1,0
35,0.0067948102951049805,1,0
36,0.0067948102951049805,1,0
37,0.0067948102951049805,1,0
38,0.0067948102951049805,1,0
39,0.0067948102951049805,1,0
40,0.0067948102951049805,1,0
41,0.0067948102951049805,1,0
42,0.0067948102951049805,1,0
43,0.0067948102951049805,1,0
44,0.0067948102951049805,1,0
45,0.0067948102951049805,1,0
46,0.0067948102951049805,1,0
47,0.0067948102951049805,1,0
48,0.0067948102951049805,1,0
49,0.0067948102951049805,1,0
50,0.0067948102951049805,1,0
51,0.0067948102951049805,1,0
52,0.0067948102951049805,1,0
53,0.0067948102951049805,1,0
54,0.0067948102951049805,1,0
55,0.0067948102951049805,1,0
56,0.0067948102951049805,1,0
57,0.0067948102951049805,1,0
58,0.0067948102951049805,1,0
59,0.0067948102951049805,1,0
60,0.0067948102951049805,1,0
61,0.0067948102951049805,1,0
62,0.0067948102951049805,1,0
63,0.0067948102951049805,1,0
64,0.0067948102951049805,1,0
65,0.0067948102951049805,1,0
66,0.0067948102951049805,1,0
67,0.0067948102951049805,1,0
68,0.0067948102951049805,1,0
69,0.0067948102951049805,1,0
70,0.0067948102951049805,1,0
71,0.0067948102951049805,1,0
72,0.0067948102951049805,1,0
73,0.0067948102951049805,1,0
74,0.0067948102951049805,1,0
75,0.0067948102951049805,1,0
76,0.0067948102951049805,1,0
77,0.0067948102951049805,1,0
78,0.0067948102951049805,1,0
79,0.0067948102951049805,1,0
80,0.0067948102951049805,1,0
81,0.0067948102951049805,1,0
82,0.0067948102951049805,1,0
